RestaurantID,RestaurantName,CountryCode,City,Address,Locality,LocalityVerbose,Longitude,Latitude,Cuisines,AverageCostfortwo,Currency,HasTablebooking,HasOnlinedelivery,Isdeliveringnow,Switchtoordermenu,Pricerange,Aggregaterating,Ratingcolor,Ratingtext,Votes,RestaurantNameLength,AddressLength
6317637,3741,162,74,8677,170,171,121.027535,14.565443,920,1100,0,1,0,0,1,3,4.8,0,1,314,16,71
6304287,3165,162,74,6048,593,601,121.014101,14.553708,1111,1200,0,1,0,0,1,3,4.5,0,1,591,16,67
6300002,2888,162,76,4680,307,313,121.056831,14.581404,1671,4000,0,1,0,0,1,4,4.4,1,5,270,22,56
6318506,4701,162,76,8682,862,875,121.056475,14.585318,1126,1500,0,0,0,0,1,4,4.9,0,1,365,4,70
6314302,5517,162,76,8681,862,875,121.057508,14.58445,1122,1500,0,1,0,0,1,4,4.8,0,1,229,11,64
18189371,2062,162,76,5401,862,875,121.056314,14.583764,497,1000,0,0,0,0,1,3,4.4,1,5,336,12,71
6300781,999,162,95,3983,863,876,120.9796667,14.53133333,134,2000,0,1,0,0,1,4,4.0,1,5,520,10,83
6301290,7173,162,95,3982,863,876,120.9793333,14.54,1681,2000,0,1,0,0,1,4,4.2,1,5,677,7,81
6300010,6038,162,95,6971,1001,1054,120.98009,14.55299,796,6000,0,1,0,0,1,4,4.9,0,1,621,40,69
6314987,3805,162,96,3965,516,522,121.056532,14.572041,892,1100,0,1,0,0,1,3,4.8,0,1,532,8,67
6309903,5843,162,96,2840,516,522,121.057916,14.567689,894,800,0,0,0,0,1,3,4.9,0,1,1070,16,44
6309455,3901,162,96,1290,516,522,121.06082,14.570849,66,900,0,1,0,0,1,3,4.2,1,5,488,31,44
6318433,5843,162,108,7453,1111,1166,121.075419,14.649503,894,800,0,0,0,0,1,3,4.8,0,1,294,16,68
6310470,2750,162,113,2055,9,9,121.0335917,14.59345,892,1000,0,1,0,0,1,3,4.2,1,5,458,10,68
6314605,5934,162,113,818,592,600,121.03811,14.59889,1161,700,0,0,0,0,1,3,4.3,1,5,223,23,53
18185059,1081,162,115,3546,726,737,121.05704,14.237082,338,800,0,0,0,0,1,3,3.6,5,2,29,13,77
18182702,4598,162,115,5342,1003,1056,121.0565874,14.23767897,1098,850,0,0,0,0,1,3,4.0,1,5,72,24,65
6318213,609,162,123,3466,1039,1092,120.951589,14.101834,892,1200,0,1,0,0,1,3,4.5,0,1,211,10,32
18255654,2929,162,124,8676,83,84,121.045878,14.55436,452,600,0,0,0,0,1,2,4.5,0,1,118,26,103
6308205,7275,162,124,5407,131,132,121.04622,14.549337,345,1500,0,1,0,0,1,4,4.4,1,5,392,23,97
6315438,4413,162,124,8536,861,874,121.053725,14.545858,1670,3000,0,1,0,0,1,4,4.7,0,1,535,14,92
6310406,6580,162,124,4824,861,874,121.0534998,14.54565535,9,1800,0,1,0,0,1,4,4.5,0,1,618,29,87
6600681,1464,30,21,7330,66,66,-47.88178889,-15.76414167,852,55,1,0,0,0,1,2,3.0,2,0,6,11,49
6601005,1199,30,21,7328,66,66,-47.88266667,-15.7775,331,30,1,0,0,0,1,1,3.8,5,2,9,19,48
6600292,1287,30,21,7329,66,66,-47.88213611,-15.75747222,177,45,1,0,0,0,1,2,3.7,5,2,11,24,51
6600441,4022,30,21,4243,66,66,-47.88816667,-15.75883333,257,60,1,0,0,0,1,3,3.8,5,2,11,5,47
6600970,4966,30,21,7395,67,67,-47.91566667,-15.83116667,1618,50,1,0,0,0,1,2,3.2,2,0,11,14,45
6600379,6163,30,21,7394,67,67,-47.91566667,-15.831,1111,80,1,0,0,0,1,3,3.1,2,0,10,10,45
6600214,699,30,21,4244,67,67,-47.9075,-15.82,109,90,1,0,0,0,1,3,3.7,5,2,8,7,46
6601218,4512,30,21,7393,67,67,-47.91016667,-15.82733333,1111,200,1,0,0,0,1,4,3.7,5,2,5,8,45
6600060,5532,30,21,4679,67,67,-47.89016667,-15.797,260,30,1,0,0,0,1,1,0.0,4,3,2,14,67
6600083,7178,30,21,4245,67,67,-47.92366667,-15.83133333,1031,150,1,0,0,0,1,4,4.1,1,5,12,12,44
6601515,5393,30,21,7218,1205,1262,-48.019,-15.83716667,1618,100,1,0,0,0,1,4,3.1,2,0,9,8,45
6601361,996,30,21,3540,1205,1262,-48.01909167,-15.839775,218,60,1,0,0,0,1,3,3.6,5,2,9,11,59
6601602,6233,30,21,8816,1205,1262,-48.01666667,-15.83483333,1219,100,1,0,0,0,1,4,4.3,1,5,29,8,72
6601589,1698,30,21,3964,137,138,-47.889,-15.7865,1022,230,1,0,0,0,1,4,4.2,1,5,17,10,65
6601862,6336,30,21,4823,560,567,-47.872359,-15.860621,1617,100,1,0,0,0,1,4,3.6,5,2,5,6,64
6601595,4732,30,21,6945,769,780,-47.95628333,-15.83451389,64,150,1,0,0,0,1,4,4.0,1,5,10,18,61
6601158,4021,30,21,7074,800,811,-47.87283333,-15.82566667,1667,240,1,0,0,0,1,4,3.2,2,0,6,7,54
6600427,1698,30,21,7301,970,1023,-47.8685,-15.819,1022,230,1,0,0,0,1,4,4.9,0,1,30,10,73
6600116,2600,30,21,8515,984,1037,-47.885812,-15.720118,1031,350,1,0,0,0,1,4,3.3,2,0,8,4,68
6601457,940,30,21,4246,1022,1075,-47.92102778,-15.79753056,29,50,1,0,0,0,1,2,3.6,5,2,9,26,47
7303219,4895,30,112,7078,100,101,-43.377,-23.0115,1673,140,1,0,0,0,1,4,4.0,1,5,7,21,88
7304307,1728,30,112,7228,169,170,-43.178826,-22.905293,768,100,1,0,0,0,1,4,4.8,0,1,29,19,47
7301215,771,30,112,7239,218,224,-43.18669167,-22.97207222,1141,60,1,0,0,0,1,3,4.7,0,1,24,4,45
7300596,1301,30,112,3544,218,224,-43.17583333,-22.96216667,231,90,1,0,0,0,1,3,4.5,0,1,29,9,55
7300612,296,30,112,7238,218,224,-43.176,-22.96516667,1170,170,1,0,0,0,1,4,4.2,1,5,11,4,54
7300704,6228,30,112,5242,346,352,-43.191,-22.98683333,294,60,1,0,0,0,1,3,4.8,0,1,19,9,69
7300955,938,30,112,7080,389,395,-43.227042,-22.973507,258,100,1,0,0,0,1,4,4.9,0,1,40,18,49
7300521,604,30,112,7221,467,473,-43.211425,-22.98520833,262,90,1,0,0,0,1,3,4.6,0,1,21,10,53
7300515,2577,30,112,7242,467,473,-43.203,-22.98533333,258,120,1,0,0,0,1,4,4.9,0,1,49,17,51
7300483,7402,30,112,7236,467,473,-43.20520833,-22.98531944,257,170,1,0,0,0,1,4,4.6,0,1,21,22,48
7301064,2312,30,112,7234,561,568,-43.219563,-22.966647,257,90,1,0,0,0,1,3,4.3,1,5,14,13,66
7304312,1830,30,112,6019,581,589,-43.34879167,-22.99991111,1031,150,1,0,0,0,1,4,4.0,1,5,5,16,90
7300004,6162,30,112,7226,582,590,-43.227,-22.98416667,1111,250,1,0,0,0,1,4,4.6,0,1,25,12,46
7300868,6258,30,112,3541,582,590,-43.22566667,-22.98516667,215,120,1,0,0,0,1,4,4.4,1,5,13,14,67
7302637,3752,30,112,7230,585,593,-43.17279167,-22.963925,257,40,1,0,0,0,1,2,4.2,1,5,7,10,46
7302140,5726,30,112,7229,585,593,-43.17126389,-22.96337222,266,250,1,0,0,0,1,4,4.2,1,5,8,7,46
7305048,5136,30,112,6186,624,634,-43.341164,-22.870413,218,70,1,0,0,0,1,3,0.0,4,3,1,21,97
7302898,412,30,112,7222,881,894,-43.18736944,-22.92481389,257,300,1,0,0,0,1,4,4.7,0,1,44,10,48
7302859,139,30,112,7224,1095,1148,-43.21551111,-22.91370833,258,85,1,0,0,0,1,3,4.6,0,1,24,17,51
7301700,2577,30,112,3542,1124,1179,-43.16266667,-22.94783333,258,80,1,0,0,0,1,3,4.3,1,5,10,17,45
6706313,1262,30,122,7223,111,112,-46.64516667,-23.55066667,1098,250,1,0,0,0,1,4,4.5,0,1,49,24,49
6704326,6355,30,122,7241,111,112,-46.64633333,-23.559,1745,250,1,0,0,0,1,4,4.4,1,5,17,30,55
6711179,2666,30,122,7219,216,222,-46.65866667,-23.55616667,995,70,1,0,0,0,1,3,3.1,2,0,5,11,49
6702797,3249,30,122,7220,216,222,-46.657523,-23.55671,257,100,1,0,0,0,1,4,4.1,1,5,15,9,50
6700475,5892,30,122,5615,440,446,-46.666851,-23.581688,236,300,1,0,0,0,1,4,4.8,0,1,59,19,82
6713413,3760,30,122,7235,468,474,-46.67511,-23.582135,917,120,1,0,0,0,1,4,4.6,0,1,30,15,48
